link,full_name,year,mileage_km,gear_type,fuel_type,price,dateAdd
www.autobazar.eu/abarth-695-14-turbo-t-jet-rivale-mta-id21346777.html,Abarth 695 1.4 Turbo T-Jet Rivale MTA,2020,5 500 km,Automat,Benzín,"29 999 € 
s DPH (Možný odpočet DPH)",25.08.2022
www.autobazar.eu/abarth-595-hatchback-132kw-manual-id21369151.html,Abarth 595 Hatchback 132kw Manuál,2019,17 400 km,Manuál,Benzín,22 000 €,04.09.2022
www.autobazar.eu/abarth-500-14-t-jet14-t-jet-servkniha-klima-aaaid21268255.html,"Abarth 500 1.4 T-Jet1.4 T-Jet, Serv.kniha, Klima",2009,116 939 km,Manuál,Benzín,7 500 €,05.09.2022
www.autobazar.eu/abarth-595-hatchback-118kw-manual-id21379862.html,Abarth 595 Hatchback 118kw Manuál,2013,156 000 km,Manuál,Benzín,13 000 €,08.09.2022
www.autobazar.eu/abarth-595-14-120kw-id21405101.html,Abarth 595 1.4 120kW,2016,127 500 km,Manuál,Benzín,13 499 €,18.09.2022
www.autobazar.eu/abarth-500-14-turbojet-id21353333.html,Abarth 500 1.4 TurboJet,2013,98 918 km,Automat,Benzín,"13 500 € 

						prihlásenie znamená dodatočné náklady vo výške cca. 300 až 500 €",29.08.2022
www.autobazar.eu/abarth-595-coupe-118kw-manual-id21404343.html,Abarth 595 Coupé 118kw Manuál,2019,69 000 km,Manuál,Benzín,"16 500 € 
s DPH (Možný odpočet DPH)",18.09.2022
www.autobazar.eu/abarth-595-pista-id21044612.html,Abarth 595 Pista,2019,29 742 km,Manuál,Benzín,17 490 €,20.09.2022
www.autobazar.eu/abarth-500-coupe-118kw-manual-id21339152.html,Abarth 500 Coupé 118kw Manuál,2018,30 000 km,Manuál,Benzín,17 500 €,22.08.2022
www.autobazar.eu/abarth-595-pista-id20884002.html,Abarth 595 Pista,2019,28 593 km,Manuál,Benzín,17 500 €,19.09.2022
www.autobazar.eu/abarth-595-hatchback-121kw-manual-id21349290.html,Abarth 595 Hatchback 121kw Manuál,2020,36 000 km,Manuál,Benzín,17 899 €,31.08.2022
www.autobazar.eu/abarth-595-competizione-595-competizione-aaaid21315871.html,"Abarth 595 Competizione, 595 competizione",2018,76 791 km,Automat,Benzín,"18 000 € 
s DPH (Možný odpočet DPH)",26.08.2022
www.autobazar.eu/abarth-500-pista-14-t-jet-160-id21202859.html,Abarth 500 Pista 1.4 t-jet 160,2018,32 255 km,Automat,Benzín,"18 990 € 
s DPH (Možný odpočet DPH)",20.09.2022
www.autobazar.eu/abarth-595-hatchback-121kw-manual-id21363599.html,Abarth 595 Hatchback 121kw Manuál,2019,26 500 km,Manuál,Benzín,19 400 €,04.09.2022
www.autobazar.eu/abarth-595c-mta-id21363392.html,Abarth 595C MTA,2017,65 007 km,Automat,Benzín,19 900 €,13.09.2022
www.autobazar.eu/abarth-695-fiat-14-turbo-t-jet-xsr-yamaha-id21378798.html,Abarth 695 Fiat   1.4 turbo T-Jet XSR Yamaha,2018,54 000 km,Manuál,Benzín,19 990 €,18.09.2022
www.autobazar.eu/abarth-595-id18208682.html,Abarth 595,,2 800 km,Manuál,Benzín,20 500 €,20.09.2022
www.autobazar.eu/abarth-595c-competizione-id21331350.html,Abarth 595C Competizione,2018,28 000 km,Manuál,Benzín,23 000 €,18.08.2022
www.autobazar.eu/abarth-595-yamaha-monster-1-of-2000-id20095428.html,Abarth 595 Yamaha Monster 1 of 2000,2021,6 493 km,Manuál,Benzín,"23 500 € 
s DPH (Možný odpočet DPH)",12.09.2022
www.autobazar.eu/abarth-124-spider-14-multiair-turbo-id21103348.html,Abarth 124 spider 1.4 MultiAir Turbo,2016,43 000 km,Manuál,Benzín,24 900 €,16.09.2022
www.autobazar.eu/abarth-595-competizione-id20619646.html,Abarth 595 Competizione,2020,14 910 km,Manuál,Benzín,25 799 €,19.09.2022
www.autobazar.eu/abarth-500-1.4-595-14-turbo-competizione-id21096760.html,"Abarth 500 1,4 595 1.4 Turbo Competizione",2018,28 000 km,Manuál,Benzín,"26 069 € 
s DPH (Možný odpočet DPH)",20.09.2022
www.autobazar.eu/abarth-124-spider-roadster-125kw-manual-id21361259.html,Abarth 124 Spider Roadster 125kw Manuál,2018,20 000 km,Manuál,Benzín,27 000 €,18.09.2022
www.autobazar.eu/abarth-595-14-t-jet-cabrio-competizione-id21057152.html,Abarth 595 1.4 T-Jet Cabrio Competizione,2021,6 900 km,Manuál,Benzín,30 990 €,20.09.2022
www.autobazar.eu/abarth-695-14-t-jet-180-k-id21309416.html,Abarth 695 1.4 T-JET 180 k,2022,10 km,Manuál,Benzín,"31 950 € 
s DPH (Možný odpočet DPH)",10.08.2022
