link,full_name,year,mileage_km,gear_type,fuel_type,price,dateAdd
www.autobazar.eu/ford-mondeo-20-tdci-150-executive-id21316837.html,Ford Mondeo 2.0 TDCi 150 Executive,2016,116 000 km,Manuál,Diesel,14 990 €,12.09.2022
www.autobazar.eu/ford-mondeo-combi-facelift-20-tdci-powershift-titanium-id21259582.html,Ford Mondeo Combi FaceLift 2.0 TDCi PowerShift Titanium,2019,129 000 km,Automat,Diesel,17 990 €,12.09.2022
www.autobazar.eu/ford-mondeo-combi-facelift-20-tdci-powershift-titanium-id21226981.html,Ford Mondeo Combi FaceLift 2.0 TDCi PowerShift Titanium,2019,185 000 km,Automat,Diesel,16 990 €,12.09.2022
www.autobazar.eu/ford-mondeo-combi-20-tdci-titanium-id21204426.html,Ford Mondeo Combi 2.0 TDCi Titanium,2017,134 000 km,Manuál,Diesel,14 990 €,12.09.2022
www.autobazar.eu/ford-kuga-20-tdci-150-titanium-id21354785.html,Ford Kuga 2.0 TDCi 150 Titanium,2017,154 000 km,Manuál,Diesel,16 990 €,12.09.2022
www.autobazar.eu/ford-s-max-20-tdci-150hp-powershift-titanium-id21190865.html,Ford S-Max 2.0 TDCi 150hp PowerShift Titanium,2017,136 000 km,Automat,Diesel,16 990 €,12.09.2022
www.autobazar.eu/ford-kuga-4x4-20-tdci-150hp-awd-titanium-id21208086.html,Ford Kuga 4x4 2.0 TDCi 150hp AWD Titanium,2016,193 000 km,Manuál,Diesel,14 990 €,12.09.2022
www.autobazar.eu/ford-mondeo-combi-20-tdci-150hp-powershift-executive-id21386296.html,Ford Mondeo Combi 2.0 TDCi 150hp PowerShift Executive,2017,133 000 km,Automat,Diesel,14 990 €,12.09.2022
www.autobazar.eu/ford-kuga-20-tdci-duratorq-150k-titanium-awd-id20828017.html,Ford Kuga 2.0 TDCi Duratorq 150k Titanium AWD,2017,147 000 km,Manuál,Diesel,"18 990 € 
s DPH (Možný odpočet DPH)",12.09.2022
www.autobazar.eu/ford-ranger-22-tdci-150k-doublecab-4x4-limited-id21386072.html,Ford Ranger 2.2 TDCi 150k DoubleCab 4x4 LIMITED,2015,175 500 km,Manuál,Diesel,16 790 €,12.09.2022
www.autobazar.eu/ford-ranger-pick-up-105kw-manual-id21385379.html,Ford Ranger Pick up 105kw Manuál,2008,185 944 km,Manuál,Diesel,10 490 €,12.09.2022
www.autobazar.eu/ford-focus-combi-20-tdci-duratorq-st-r-id21348631.html,Ford Focus Combi 2.0 TDCi Duratorq ST R,2017,73 000 km,Manuál,Diesel,19 200 €,26.08.2022
www.autobazar.eu/ford-mondeo-combi-20-tdci-duratorq-trend-id21345364.html,Ford Mondeo Combi 2.0 TDCi Duratorq Trend,2015,291 000 km,Manuál,Diesel,"9 000 € 
s DPH (Možný odpočet DPH)",08.09.2022
www.autobazar.eu/ford-mondeo-20-tdci-duratorq-manager-id21347081.html,Ford Mondeo 2.0 TDCi Duratorq Manager,2018,84 314 km,Manuál,Diesel,19 800 €,25.08.2022
www.autobazar.eu/ford-mustang-shelby-gt500-50-515kw-700k-2014-8300km-id21365081.html,Ford Mustang Shelby GT500 5.0 515kW (700k). 2014. 8300km,2014,8 300 km,Manuál,Benzín,29 900 €,02.09.2022
www.autobazar.eu/ford-focus-25-20v-duratec-st-id21323489.html,Ford Focus 2.5 20V Duratec ST,2008,120 000 km,Manuál,Benzín,11 999 €,22.08.2022
www.autobazar.eu/ford-focus-16-ecoboost-scti-titanium-id21363724.html,Ford Focus 1.6 EcoBoost SCTi Titanium,2011,242 869 km,Manuál,Benzín,6 600 €,12.09.2022
www.autobazar.eu/ford-grand-c-max-20-tdci-titanium-plus-a-t-id21357528.html,Ford Grand C-Max 2.0 TDCi Titanium Plus A/T,2016,187 131 km,Automat,Diesel,"12 500 € 
s DPH (Možný odpočet DPH)",31.08.2022
www.autobazar.eu/ford-ranger-32-tdci-doublecab-4x4-wildtrak-a6-id21341800.html,Ford Ranger 3.2 TDCi DoubleCab 4x4 WildTrak A6,2015,113 000 km,Automat,Diesel,"26 400 € 
s DPH (Možný odpočet DPH)",23.08.2022
